 num     #instances         #bytes  class name (module)
 183:            67           2680  java.io.FileDescriptor (java.base@16.0.2)
 184:            83           2656  java.lang.invoke.DirectMethodHandle (java.base@16.0.2)
 185:            81           2592  java.util.LinkedList (java.base@16.0.2)
 186:           108           2592  org.eclipse.sisu.plexus.PlexusRequirements$RequirementProvider
 187:           157           2512  sun.reflect.generics.tree.ClassTypeSignature (java.base@16.0.2)
 188:            52           2496  java.lang.StackTraceElement (java.base@16.0.2)
 189:           153           2448  org.eclipse.sisu.bean.BeanPropertyField
 190:            97           2328  java.util.ImmutableCollections$List12 (java.base@16.0.2)
 191:            57           2280  org.apache.maven.model.building.ModelData
 192:            95           2280  org.eclipse.sisu.inject.BeanCache
 193:           141           2256  com.google.inject.Key$AnnotationInstanceStrategy
 194:            94           2256  com.google.inject.internal.SingleParameterInjector
 195:            94           2256  java.util.Collections$SetFromMap (java.base@16.0.2)
 196:            93           2232  java.util.zip.Inflater$InflaterZStreamRef (java.base@16.0.2)
 197:            31           2232  sun.net.www.protocol.jar.URLJarFile (java.base@16.0.2)
 198:            92           2208  java.util.regex.Pattern$BmpCharProperty (java.base@16.0.2)
 199:            44           2112  com.google.inject.internal.InstanceBindingImpl
 200:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base@16.0.2)
 201:            37           2072  org.apache.maven.model.Parent
 202:           128           2048  java.lang.Character (java.base@16.0.2)
 203:            64           2048  org.eclipse.aether.graph.Exclusion
 204:            23           2024  java.util.regex.Pattern (java.base@16.0.2)
 205:            83           1992  java.util.concurrent.CopyOnWriteArrayList (java.base@16.0.2)
 206:            41           1968  org.apache.commons.cli.Option
 207:            49           1960  java.io.FilePermission (java.base@16.0.2)
 208:            48           1920  java.io.ObjectStreamField (java.base@16.0.2)
 209:            60           1920  java.io.RandomAccessFile (java.base@16.0.2)
 210:            60           1920  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@16.0.2)
 211:            57           1824  org.apache.maven.repository.internal.DefaultModelCache$Key
 212:            75           1800  java.util.regex.Pattern$GroupHead (java.base@16.0.2)
 213:            75           1800  java.util.regex.Pattern$GroupTail (java.base@16.0.2)
 214:            45           1800  org.apache.maven.artifact.handler.DefaultArtifactHandler
 215:            74           1776  org.eclipse.sisu.space.WildcardKey$QualifiedImpl
 216:            27           1728  org.apache.maven.model.Repository
 217:            52           1664  org.apache.maven.model.PluginManagement
 218:            67           1608  org.codehaus.plexus.classworlds.realm.Entry
 219:            20           1600  jdk.internal.reflect.DelegatingClassLoader (java.base@16.0.2)
 220:            66           1584  java.security.Provider$UString (java.base@16.0.2)
